time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.238,0.039,-0.281,0.000,0.000,0.000,0.064,-0.003,0.117,0.000,
0.004,0.201,0.335,-0.194,0.000,0.000,-0.001,0.065,0.008,0.127,0.000,
0.006,0.183,0.510,-0.126,0.001,0.001,-0.001,0.065,0.012,0.137,0.000,
0.008,0.158,0.868,-0.010,0.001,0.002,-0.001,0.060,0.006,0.143,0.000,
0.010,0.151,1.027,0.023,0.002,0.004,-0.001,0.051,-0.007,0.149,0.000,
0.012,0.163,1.216,0.045,0.002,0.006,-0.001,0.045,-0.023,0.154,0.000,
0.014,0.189,1.211,0.038,0.002,0.008,-0.001,0.035,-0.042,0.162,0.000,
0.016,0.264,0.999,-0.004,0.003,0.010,-0.001,0.027,-0.056,0.169,0.000,
0.018,0.307,0.797,-0.041,0.003,0.012,-0.001,0.017,-0.069,0.169,0.000,
0.020,0.399,0.279,-0.147,0.004,0.014,-0.001,0.005,-0.082,0.166,0.000,
0.022,0.436,-0.002,-0.213,0.005,0.015,-0.001,-0.006,-0.094,0.163,0.000,
0.024,0.435,-0.585,-0.318,0.005,0.015,-0.002,-0.014,-0.101,0.152,0.000,
0.026,0.404,-0.884,-0.355,0.006,0.013,-0.002,-0.014,-0.099,0.130,6.000,
0.028,0.327,-1.465,-0.430,0.007,0.012,-0.003,-0.006,-0.086,0.102,8.000,
0.030,0.281,-1.730,-0.464,0.008,0.009,-0.004,0.004,-0.079,0.083,0.000,
0.032,0.235,-1.970,-0.490,0.008,0.005,-0.005,0.012,-0.073,0.071,0.000,
0.034,0.147,-2.384,-0.524,0.009,0.001,-0.006,0.016,-0.060,0.064,0.000,
0.036,0.092,-2.558,-0.542,0.009,-0.003,-0.007,0.022,-0.051,0.064,0.000,
0.038,-0.021,-2.837,-0.578,0.009,-0.009,-0.008,0.032,-0.050,0.061,0.000,
0.040,-0.068,-2.949,-0.595,0.009,-0.014,-0.009,0.046,-0.044,0.058,0.000,
0.042,-0.147,-3.119,-0.636,0.009,-0.020,-0.010,0.062,-0.038,0.057,0.000,
0.044,-0.176,-3.178,-0.668,0.009,-0.026,-0.012,0.076,-0.042,0.045,0.000,
0.046,-0.216,-3.254,-0.758,0.008,-0.033,-0.013,0.083,-0.046,0.028,0.000,
0.048,-0.234,-3.279,-0.805,0.008,-0.039,-0.015,0.089,-0.049,0.015,0.000,
0.050,-0.291,-3.314,-0.872,0.007,-0.046,-0.016,0.097,-0.054,-0.001,0.000,
0.052,-0.329,-3.323,-0.886,0.007,-0.052,-0.018,0.107,-0.057,-0.013,0.000,
0.054,-0.385,-3.346,-0.923,0.006,-0.059,-0.020,0.109,-0.057,-0.024,0.000,
0.056,-0.407,-3.363,-0.948,0.005,-0.066,-0.022,0.107,-0.054,-0.026,0.000,
0.058,-0.430,-3.374,-0.964,0.005,-0.073,-0.023,0.103,-0.047,-0.017,0.000,
0.060,-0.473,-3.339,-0.939,0.004,-0.079,-0.025,0.100,-0.035,-0.003,0.000,
0.062,-0.501,-3.290,-0.910,0.003,-0.086,-0.027,0.097,-0.015,0.017,0.000,
0.064,-0.571,-3.076,-0.858,0.002,-0.093,-0.029,0.095,0.008,0.023,8.000,
0.066,-0.597,-2.909,-0.832,0.001,-0.099,-0.031,0.093,0.030,0.009,0.000,
