time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.618,-0.151,-0.064,-0.237,0.000,-0.000,0.000,0.020,0.012,0.027,0.000,
0.620,0.145,-0.279,-0.372,-0.000,-0.000,-0.000,0.025,0.048,0.023,0.000,
0.622,0.517,-0.494,-0.389,-0.000,-0.001,-0.001,0.018,0.087,0.005,12.000,
0.624,0.708,-0.637,-0.320,0.001,-0.002,-0.002,0.007,0.113,-0.013,0.000,
0.626,0.669,-0.697,-0.233,0.002,-0.003,-0.003,-0.007,0.123,-0.017,0.000,
0.628,0.496,-0.692,-0.174,0.004,-0.004,-0.003,-0.025,0.121,-0.009,0.000,
0.630,0.291,-0.651,-0.164,0.005,-0.006,-0.003,-0.044,0.109,0.002,0.000,
0.632,0.102,-0.577,-0.212,0.005,-0.007,-0.004,-0.057,0.091,0.007,0.000,
0.634,-0.025,-0.493,-0.284,0.006,-0.008,-0.004,-0.061,0.075,0.004,0.000,
0.636,-0.120,-0.410,-0.373,0.006,-0.009,-0.005,-0.059,0.062,-0.003,0.000,
0.638,-0.186,-0.356,-0.444,0.005,-0.010,-0.006,-0.059,0.057,-0.010,0.000,
0.640,-0.247,-0.335,-0.468,0.005,-0.011,-0.006,-0.066,0.062,-0.016,0.000,
0.642,-0.285,-0.342,-0.448,0.004,-0.011,-0.007,-0.078,0.073,-0.023,0.000,
0.644,-0.295,-0.375,-0.394,0.004,-0.012,-0.008,-0.088,0.084,-0.031,0.000,
0.646,-0.287,-0.415,-0.336,0.003,-0.013,-0.009,-0.087,0.092,-0.035,0.000,
0.648,-0.275,-0.435,-0.277,0.003,-0.014,-0.010,-0.074,0.095,-0.033,0.000,
0.650,-0.265,-0.422,-0.228,0.002,-0.015,-0.010,-0.054,0.097,-0.032,0.000,
0.652,-0.256,-0.350,-0.164,0.002,-0.015,-0.011,-0.035,0.100,-0.032,0.000,
0.654,-0.261,-0.259,-0.091,0.001,-0.016,-0.011,-0.021,0.105,-0.031,0.000,
0.656,-0.289,-0.192,-0.020,0.001,-0.017,-0.011,-0.017,0.111,-0.028,0.000,
0.658,-0.359,-0.191,0.044,-0.000,-0.017,-0.011,-0.021,0.119,-0.023,0.000,
0.660,-0.440,-0.243,0.082,-0.001,-0.017,-0.011,-0.030,0.128,-0.016,0.000,
0.662,-0.528,-0.354,0.091,-0.002,-0.018,-0.011,-0.040,0.139,-0.013,1.000,
0.664,-0.598,-0.479,0.070,-0.003,-0.019,-0.011,-0.044,0.151,-0.015,0.000,
0.666,-0.646,-0.594,0.013,-0.004,-0.019,-0.011,-0.039,0.160,-0.019,0.000,
0.668,-0.664,-0.665,-0.051,-0.005,-0.021,-0.011,-0.031,0.168,-0.023,0.000,
0.670,-0.646,-0.718,-0.102,-0.007,-0.022,-0.011,-0.026,0.175,-0.024,0.000,
0.672,-0.606,-0.772,-0.133,-0.008,-0.023,-0.011,-0.028,0.185,-0.017,0.000,
0.674,-0.558,-0.837,-0.146,-0.009,-0.025,-0.011,-0.032,0.198,-0.005,0.000,
0.676,-0.506,-0.927,-0.142,-0.010,-0.027,-0.012,-0.038,0.211,0.012,0.000,
0.678,-0.454,-1.011,-0.125,-0.011,-0.029,-0.012,-0.045,0.220,0.031,0.000,
0.680,-0.416,-1.079,-0.108,-0.012,-0.031,-0.012,-0.053,0.223,0.045,0.000,
0.682,-0.394,-1.140,-0.098,-0.013,-0.033,-0.012,-0.062,0.219,0.053,0.000,
0.684,-0.401,-1.251,-0.110,-0.014,-0.035,-0.012,-0.069,0.211,0.059,0.000,
0.686,-0.438,-1.383,-0.138,-0.014,-0.037,-0.013,-0.073,0.203,0.065,0.000,
0.688,-0.529,-1.527,-0.171,-0.015,-0.040,-0.013,-0.073,0.196,0.074,0.000,
0.690,-0.639,-1.633,-0.192,-0.016,-0.043,-0.013,-0.070,0.189,0.085,0.000,
0.692,-0.755,-1.686,-0.189,-0.018,-0.047,-0.014,-0.064,0.176,0.099,0.000,
0.694,-0.835,-1.682,-0.174,-0.019,-0.050,-0.014,-0.071,0.157,0.115,0.000,
0.696,-0.869,-1.631,-0.174,-0.021,-0.053,-0.014,-0.092,0.137,0.127,0.000,
0.698,-0.893,-1.531,-0.285,-0.023,-0.057,-0.015,-0.114,0.123,0.134,0.000,
0.700,-0.962,-1.368,-0.572,-0.024,-0.060,-0.015,-0.120,0.117,0.139,0.000,
0.702,-1.064,-1.196,-0.909,-0.026,-0.062,-0.016,-0.103,0.115,0.144,0.000,
0.704,-1.180,-1.053,-1.195,-0.028,-0.065,-0.018,-0.072,0.112,0.149,0.000,
0.706,-1.331,-0.939,-1.381,-0.031,-0.067,-0.021,-0.036,0.104,0.151,0.000,
0.708,-1.475,-0.880,-1.424,-0.033,-0.069,-0.023,-0.011,0.093,0.149,0.000,
0.710,-1.609,-0.906,-1.302,-0.036,-0.070,-0.026,-0.004,0.081,0.144,0.000,
0.712,-1.701,-0.999,-1.098,-0.040,-0.072,-0.029,-0.013,0.075,0.134,0.000,
0.714,-1.762,-1.175,-0.858,-0.043,-0.074,-0.031,-0.036,0.078,0.118,0.000,
0.716,-1.807,-1.369,-0.672,-0.047,-0.077,-0.033,-0.065,0.087,0.105,0.000,
0.718,-1.889,-1.581,-0.577,-0.050,-0.079,-0.034,-0.093,0.099,0.098,0.000,
0.720,-1.994,-1.749,-0.572,-0.054,-0.083,-0.035,-0.111,0.112,0.100,0.000,
0.722,-2.108,-1.852,-0.624,-0.058,-0.086,-0.036,-0.117,0.124,0.106,0.000,
0.724,-2.259,-1.920,-0.697,-0.062,-0.090,-0.038,-0.110,0.138,0.111,0.000,
0.726,-2.410,-1.969,-0.751,-0.067,-0.094,-0.039,-0.095,0.152,0.110,0.000,
0.728,-2.589,-2.050,-0.747,-0.071,-0.098,-0.041,-0.081,0.162,0.099,0.000,
0.730,-2.761,-2.152,-0.688,-0.077,-0.102,-0.042,-0.074,0.165,0.076,8.000,
0.732,-2.956,-2.298,-0.566,-0.082,-0.106,-0.043,-0.077,0.166,0.043,0.000,
0.734,-3.125,-2.435,-0.428,-0.088,-0.111,-0.045,-0.093,0.172,0.007,0.000,
0.736,-3.253,-2.535,-0.267,-0.094,-0.115,-0.045,-0.117,0.182,-0.027,0.000,
0.738,-3.310,-2.576,-0.114,-0.101,-0.120,-0.046,-0.141,0.194,-0.049,0.000,
0.740,-3.305,-2.568,0.077,-0.107,-0.126,-0.046,-0.164,0.203,-0.057,0.000,
0.742,-3.270,-2.549,0.266,-0.114,-0.131,-0.046,-0.182,0.206,-0.060,0.000,
0.744,-3.237,-2.553,0.431,-0.121,-0.136,-0.046,-0.191,0.199,-0.068,0.000,
