time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.005,-0.022,0.015,-0.015,0.000,0.000,0.000,-0.001,0.002,-0.000,0.000,
0.007,-0.041,0.033,-0.038,-0.000,0.000,-0.000,-0.002,0.005,-0.002,0.000,
0.009,-0.047,0.045,-0.061,-0.000,0.000,-0.000,-0.003,0.004,-0.003,0.000,
0.011,-0.041,0.045,-0.079,-0.000,0.000,-0.000,-0.003,0.002,-0.003,0.000,
0.013,-0.026,0.035,-0.090,-0.000,0.000,-0.000,-0.004,-0.001,-0.004,0.000,
0.015,-0.007,0.022,-0.095,-0.000,0.000,-0.001,-0.005,-0.003,-0.005,0.000,
0.017,0.009,0.010,-0.092,-0.000,0.000,-0.001,-0.007,-0.003,-0.006,0.000,
0.019,0.019,0.001,-0.083,-0.000,0.000,-0.001,-0.008,-0.003,-0.007,0.000,
0.021,0.022,-0.006,-0.070,-0.000,0.000,-0.001,-0.009,-0.003,-0.009,0.000,
0.023,0.018,-0.009,-0.057,-0.000,0.000,-0.001,-0.008,-0.004,-0.011,0.000,
0.025,0.010,-0.008,-0.046,-0.000,0.000,-0.001,-0.006,-0.005,-0.013,12.000,
0.032,-0.003,-0.006,-0.039,-0.000,0.000,-0.001,-0.003,-0.006,-0.013,0.000,
0.034,-0.030,-0.015,-0.040,-0.000,0.000,-0.002,-0.003,-0.006,-0.011,0.000,
0.036,-0.056,-0.023,-0.043,-0.000,0.000,-0.002,-0.006,-0.004,-0.008,0.000,
0.038,-0.074,-0.022,-0.042,-0.000,0.000,-0.002,-0.009,-0.002,-0.004,0.000,
0.040,-0.083,-0.012,-0.033,-0.001,0.000,-0.002,-0.012,0.001,-0.001,0.000,
0.042,-0.085,0.003,-0.018,-0.001,0.000,-0.002,-0.013,0.003,0.001,0.000,
0.044,-0.080,0.019,-0.003,-0.001,0.000,-0.002,-0.013,0.004,0.002,0.000,
0.046,-0.064,0.033,0.005,-0.001,0.000,-0.002,-0.012,0.004,0.000,2.000,
0.048,-0.035,0.043,0.006,-0.001,0.000,-0.002,-0.010,0.004,-0.002,0.000,
0.050,0.001,0.048,0.002,-0.001,0.000,-0.002,-0.008,0.003,-0.005,1.000,
0.052,0.034,0.046,-0.003,-0.001,0.001,-0.002,-0.006,0.003,-0.009,0.000,
0.054,0.057,0.042,-0.005,-0.001,0.001,-0.002,-0.004,0.003,-0.012,0.000,
0.058,0.068,0.038,-0.002,-0.001,0.001,-0.002,-0.003,0.002,-0.015,0.000,
0.060,0.069,0.035,0.014,-0.001,0.001,-0.002,-0.002,0.000,-0.017,0.000,
0.062,0.065,0.032,0.035,-0.001,0.001,-0.002,-0.002,-0.002,-0.015,0.000,
0.064,0.059,0.028,0.052,-0.001,0.001,-0.002,-0.002,-0.003,-0.012,0.000,
0.066,0.052,0.023,0.058,-0.001,0.001,-0.002,-0.000,-0.004,-0.008,0.000,
0.068,0.048,0.018,0.054,-0.000,0.001,-0.002,0.002,-0.003,-0.003,0.000,
0.070,0.046,0.012,0.042,-0.000,0.001,-0.001,0.004,-0.002,0.002,0.000,
0.072,0.047,0.006,0.025,-0.000,0.001,-0.001,0.004,-0.000,0.005,0.000,
0.074,0.048,-0.001,0.009,-0.000,0.001,-0.001,0.003,0.002,0.006,0.000,
0.076,0.048,-0.007,-0.004,-0.000,0.001,-0.001,-0.000,0.004,0.006,0.000,
0.078,0.049,-0.015,-0.015,0.000,0.001,-0.001,-0.003,0.005,0.005,0.000,
0.083,0.050,-0.026,-0.021,0.000,0.001,-0.001,-0.006,0.005,0.005,0.000,
0.085,0.044,-0.037,-0.018,0.000,0.001,-0.001,-0.007,0.004,0.006,0.000,
0.087,0.034,-0.042,-0.010,0.000,0.001,-0.001,-0.009,0.001,0.006,0.000,
0.089,0.022,-0.041,0.000,0.000,0.001,-0.001,-0.009,-0.001,0.005,0.000,
0.091,0.012,-0.036,0.010,0.000,0.001,-0.001,-0.010,-0.003,0.003,0.000,
0.093,0.003,-0.033,0.019,0.000,0.001,-0.001,-0.010,-0.005,-0.001,0.000,
