time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.623,0.095,-0.337,-0.047,0.000,0.000,0.000,-0.008,0.001,0.007,0.000,
0.625,0.274,0.100,-0.433,0.000,-0.001,-0.000,-0.053,0.053,0.018,0.000,
0.627,0.471,0.779,-0.680,0.001,-0.000,-0.001,-0.099,0.113,0.022,12.000,
0.629,0.621,1.317,-0.653,0.002,0.001,-0.002,-0.127,0.154,0.017,2.000,
0.631,0.707,1.560,-0.393,0.003,0.004,-0.004,-0.132,0.171,0.002,0.000,
0.633,0.740,1.531,-0.018,0.004,0.007,-0.004,-0.122,0.170,-0.015,0.000,
0.635,0.746,1.335,0.362,0.006,0.010,-0.004,-0.106,0.162,-0.032,0.000,
0.637,0.746,1.083,0.682,0.007,0.013,-0.004,-0.092,0.155,-0.046,0.000,
0.639,0.750,0.849,0.920,0.009,0.015,-0.002,-0.084,0.154,-0.057,1.000,
0.641,0.759,0.658,1.083,0.010,0.016,-0.001,-0.082,0.159,-0.064,0.000,
0.643,0.766,0.501,1.190,0.012,0.018,0.002,-0.082,0.170,-0.069,0.000,
0.645,0.760,0.356,1.263,0.013,0.019,0.004,-0.082,0.183,-0.072,0.000,
0.647,0.734,0.207,1.319,0.015,0.019,0.007,-0.079,0.196,-0.073,0.000,
0.649,0.690,0.046,1.361,0.016,0.020,0.009,-0.073,0.207,-0.070,0.000,
0.651,0.632,-0.119,1.387,0.018,0.020,0.012,-0.064,0.214,-0.065,0.000,
0.653,0.569,-0.282,1.390,0.019,0.020,0.015,-0.055,0.216,-0.057,0.000,
0.655,0.517,-0.436,1.371,0.020,0.019,0.017,-0.044,0.212,-0.049,0.000,
0.657,0.484,-0.577,1.332,0.021,0.018,0.020,-0.034,0.205,-0.039,0.000,
0.659,0.474,-0.708,1.278,0.022,0.017,0.023,-0.023,0.195,-0.030,0.000,
0.661,0.487,-0.830,1.214,0.023,0.016,0.025,-0.014,0.182,-0.020,0.000,
0.663,0.524,-0.948,1.146,0.024,0.014,0.028,-0.007,0.168,-0.010,0.000,
0.665,0.586,-1.065,1.078,0.025,0.012,0.030,-0.001,0.152,-0.001,0.000,
0.667,0.676,-1.186,1.009,0.026,0.010,0.032,0.004,0.137,0.009,0.000,
0.669,0.790,-1.310,0.935,0.028,0.008,0.034,0.008,0.123,0.018,0.000,
0.671,0.923,-1.434,0.859,0.029,0.005,0.036,0.014,0.110,0.025,0.000,
0.673,1.071,-1.551,0.783,0.031,0.002,0.038,0.021,0.099,0.030,0.000,
0.675,1.225,-1.657,0.706,0.033,-0.001,0.039,0.031,0.091,0.032,0.000,
0.677,1.376,-1.743,0.626,0.036,-0.004,0.041,0.042,0.086,0.031,0.000,
0.679,1.543,-1.814,0.537,0.038,-0.008,0.042,0.054,0.085,0.029,0.000,
0.681,1.700,-1.861,0.455,0.041,-0.011,0.043,0.065,0.090,0.025,0.000,
0.683,1.833,-1.876,0.392,0.045,-0.015,0.044,0.075,0.100,0.020,0.000,
0.685,1.931,-1.856,0.354,0.049,-0.019,0.045,0.083,0.115,0.013,0.000,
0.687,1.989,-1.805,0.335,0.052,-0.023,0.046,0.090,0.134,0.002,0.000,
0.689,2.008,-1.724,0.325,0.056,-0.026,0.046,0.097,0.156,-0.015,0.000,
0.691,1.992,-1.618,0.316,0.060,-0.030,0.047,0.104,0.178,-0.036,0.000,
0.693,1.950,-1.495,0.305,0.064,-0.033,0.048,0.109,0.199,-0.059,0.000,
0.695,1.886,-1.360,0.293,0.068,-0.036,0.048,0.114,0.218,-0.083,0.000,
0.697,1.799,-1.215,0.281,0.072,-0.039,0.049,0.118,0.235,-0.104,0.000,
0.699,1.686,-1.060,0.270,0.076,-0.041,0.049,0.122,0.250,-0.119,0.000,
0.701,1.546,-0.902,0.263,0.079,-0.043,0.050,0.124,0.262,-0.128,0.000,
0.703,1.378,-0.752,0.260,0.082,-0.045,0.050,0.124,0.271,-0.131,0.000,
0.705,1.186,-0.623,0.258,0.085,-0.046,0.051,0.121,0.275,-0.126,0.000,
0.707,0.980,-0.520,0.252,0.087,-0.048,0.051,0.117,0.273,-0.113,0.000,
0.709,0.775,-0.444,0.243,0.089,-0.049,0.052,0.111,0.265,-0.094,0.000,
0.711,0.583,-0.392,0.235,0.091,-0.050,0.052,0.103,0.253,-0.073,0.000,
0.713,0.412,-0.357,0.232,0.092,-0.050,0.053,0.095,0.238,-0.049,0.000,
0.715,0.271,-0.333,0.230,0.093,-0.051,0.053,0.087,0.221,-0.025,0.000,
0.717,0.160,-0.313,0.232,0.093,-0.052,0.054,0.079,0.203,-0.000,0.000,
0.719,0.075,-0.295,0.237,0.094,-0.052,0.054,0.071,0.186,0.023,0.000,
0.721,0.015,-0.272,0.240,0.094,-0.053,0.055,0.064,0.171,0.042,0.000,
0.723,-0.022,-0.245,0.235,0.094,-0.053,0.055,0.058,0.158,0.058,0.000,
0.725,-0.038,-0.214,0.222,0.094,-0.054,0.056,0.052,0.147,0.071,0.000,
0.727,-0.036,-0.184,0.206,0.094,-0.054,0.056,0.047,0.140,0.081,0.000,
0.729,-0.018,-0.158,0.189,0.094,-0.055,0.057,0.041,0.135,0.089,0.000,
0.731,0.016,-0.142,0.175,0.094,-0.055,0.057,0.035,0.134,0.095,0.000,
0.733,0.065,-0.135,0.163,0.094,-0.055,0.057,0.029,0.135,0.096,0.000,
0.735,0.128,-0.139,0.152,0.094,-0.056,0.058,0.025,0.138,0.093,0.000,
0.737,0.202,-0.153,0.141,0.094,-0.056,0.058,0.022,0.143,0.086,0.000,
0.739,0.279,-0.177,0.133,0.094,-0.056,0.058,0.021,0.148,0.077,0.000,
0.741,0.353,-0.211,0.135,0.095,-0.057,0.058,0.022,0.153,0.066,0.000,
0.743,0.420,-0.254,0.150,0.096,-0.057,0.059,0.026,0.156,0.053,0.000,
0.745,0.481,-0.304,0.183,0.096,-0.058,0.059,0.032,0.158,0.039,0.000,
0.747,0.539,-0.355,0.230,0.097,-0.058,0.059,0.039,0.158,0.025,0.000,
0.749,0.597,-0.407,0.285,0.099,-0.059,0.060,0.045,0.158,0.013,0.000,
