time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.640,-0.158,-0.295,-0.073,0.000,0.000,0.000,-0.002,0.001,-0.004,0.000,
0.642,-0.258,-0.402,-0.115,-0.000,-0.001,-0.000,0.008,-0.007,-0.013,0.000,
0.644,-0.289,-0.360,-0.114,-0.001,-0.001,-0.000,0.021,-0.016,-0.021,12.000,
0.646,-0.270,-0.246,-0.080,-0.001,-0.002,-0.001,0.030,-0.021,-0.026,0.000,
0.648,-0.234,-0.131,-0.031,-0.002,-0.003,-0.001,0.032,-0.022,-0.026,0.000,
0.650,-0.206,-0.051,0.012,-0.002,-0.003,-0.001,0.030,-0.020,-0.024,0.000,
0.652,-0.196,-0.009,0.041,-0.003,-0.003,-0.001,0.026,-0.018,-0.020,0.000,
0.654,-0.200,0.004,0.053,-0.003,-0.003,-0.001,0.023,-0.016,-0.016,1.000,
0.656,-0.211,0.001,0.060,-0.004,-0.003,-0.001,0.020,-0.015,-0.012,0.000,
0.658,-0.219,-0.006,0.069,-0.004,-0.003,-0.000,0.019,-0.015,-0.009,2.000,
0.660,-0.220,-0.013,0.087,-0.004,-0.003,-0.000,0.019,-0.016,-0.005,0.000,
0.662,-0.211,-0.016,0.108,-0.005,-0.003,-0.000,0.020,-0.016,-0.002,0.000,
0.664,-0.198,-0.014,0.127,-0.005,-0.003,0.000,0.021,-0.016,-0.001,0.000,
0.666,-0.189,-0.006,0.138,-0.006,-0.003,0.000,0.020,-0.016,-0.001,0.000,
0.668,-0.188,0.006,0.141,-0.006,-0.003,0.001,0.017,-0.016,-0.001,0.000,
0.670,-0.193,0.016,0.137,-0.006,-0.003,0.001,0.013,-0.017,-0.004,0.000,
0.672,-0.201,0.019,0.130,-0.007,-0.003,0.001,0.009,-0.019,-0.008,0.000,
0.674,-0.208,0.016,0.121,-0.007,-0.003,0.001,0.006,-0.021,-0.011,0.000,
0.676,-0.210,0.009,0.111,-0.008,-0.003,0.002,0.004,-0.023,-0.014,0.000,
0.678,-0.209,-0.000,0.102,-0.008,-0.003,0.002,0.002,-0.026,-0.015,0.000,
0.680,-0.208,-0.008,0.097,-0.009,-0.003,0.002,0.002,-0.029,-0.014,0.000,
0.682,-0.203,-0.014,0.099,-0.009,-0.003,0.002,0.003,-0.032,-0.012,0.000,
0.684,-0.192,-0.020,0.104,-0.009,-0.003,0.002,0.005,-0.034,-0.011,0.000,
0.686,-0.173,-0.027,0.104,-0.010,-0.003,0.003,0.008,-0.035,-0.011,0.000,
0.688,-0.150,-0.034,0.092,-0.010,-0.003,0.003,0.012,-0.034,-0.011,0.000,
0.690,-0.125,-0.042,0.071,-0.010,-0.003,0.003,0.014,-0.034,-0.011,0.000,
0.692,-0.102,-0.050,0.049,-0.011,-0.003,0.003,0.016,-0.034,-0.011,0.000,
0.694,-0.084,-0.056,0.031,-0.011,-0.003,0.003,0.016,-0.035,-0.012,0.000,
0.696,-0.073,-0.056,0.017,-0.011,-0.003,0.003,0.017,-0.035,-0.014,0.000,
0.698,-0.065,-0.050,0.009,-0.011,-0.004,0.003,0.017,-0.034,-0.017,0.000,
0.700,-0.061,-0.039,0.003,-0.011,-0.004,0.003,0.015,-0.030,-0.019,0.000,
0.702,-0.057,-0.027,-0.001,-0.011,-0.004,0.003,0.013,-0.026,-0.021,0.000,
0.704,-0.051,-0.021,-0.001,-0.012,-0.004,0.003,0.011,-0.022,-0.023,0.000,
0.706,-0.048,-0.024,-0.003,-0.012,-0.004,0.003,0.008,-0.019,-0.024,0.000,
0.708,-0.052,-0.032,-0.006,-0.012,-0.004,0.003,0.006,-0.015,-0.023,0.000,
0.710,-0.061,-0.044,-0.007,-0.012,-0.004,0.003,0.003,-0.013,-0.020,0.000,
0.712,-0.078,-0.062,-0.006,-0.012,-0.004,0.003,0.001,-0.011,-0.016,0.000,
0.714,-0.105,-0.088,0.000,-0.012,-0.004,0.003,-0.002,-0.007,-0.010,0.000,
0.716,-0.145,-0.126,0.007,-0.012,-0.004,0.003,-0.006,-0.003,-0.004,0.000,
0.718,-0.197,-0.179,0.011,-0.013,-0.005,0.003,-0.011,0.003,0.001,0.000,
0.720,-0.258,-0.252,0.010,-0.013,-0.005,0.003,-0.017,0.008,0.006,0.000,
0.722,-0.328,-0.345,-0.000,-0.014,-0.005,0.003,-0.022,0.012,0.009,0.000,
0.724,-0.404,-0.453,-0.023,-0.014,-0.006,0.003,-0.025,0.014,0.010,0.000,
0.726,-0.488,-0.572,-0.056,-0.015,-0.007,0.003,-0.027,0.013,0.010,0.000,
0.728,-0.576,-0.696,-0.091,-0.016,-0.008,0.003,-0.027,0.012,0.009,0.000,
0.730,-0.665,-0.821,-0.122,-0.017,-0.010,0.003,-0.026,0.010,0.008,0.000,
0.732,-0.750,-0.942,-0.146,-0.018,-0.011,0.003,-0.023,0.008,0.006,0.000,
0.734,-0.829,-1.060,-0.169,-0.020,-0.013,0.003,-0.021,0.005,0.005,0.000,
0.736,-0.905,-1.174,-0.197,-0.022,-0.015,0.002,-0.019,0.002,0.004,0.000,
0.738,-0.981,-1.284,-0.235,-0.023,-0.018,0.002,-0.019,0.000,0.003,0.000,
0.740,-1.058,-1.391,-0.288,-0.025,-0.020,0.001,-0.022,-0.001,0.002,0.000,
0.742,-1.138,-1.498,-0.355,-0.027,-0.023,0.001,-0.027,-0.001,0.004,0.000,
0.744,-1.222,-1.607,-0.429,-0.030,-0.026,0.000,-0.030,-0.000,0.007,0.000,
0.746,-1.312,-1.718,-0.504,-0.032,-0.029,-0.001,-0.031,-0.001,0.010,0.000,
0.748,-1.408,-1.829,-0.575,-0.035,-0.033,-0.002,-0.028,-0.002,0.013,0.000,
0.750,-1.508,-1.933,-0.641,-0.038,-0.036,-0.003,-0.021,-0.004,0.014,0.000,
0.752,-1.604,-2.023,-0.707,-0.041,-0.040,-0.004,-0.012,-0.010,0.014,0.000,
0.754,-1.687,-2.097,-0.776,-0.044,-0.044,-0.006,-0.001,-0.018,0.011,0.000,
0.756,-1.750,-2.153,-0.847,-0.047,-0.048,-0.007,0.011,-0.026,0.007,0.000,
0.758,-1.793,-2.184,-0.916,-0.051,-0.053,-0.009,0.023,-0.034,0.001,0.000,
0.760,-1.816,-2.187,-0.977,-0.054,-0.057,-0.011,0.034,-0.039,-0.006,0.000,
0.762,-1.821,-2.160,-1.025,-0.058,-0.061,-0.013,0.044,-0.043,-0.012,0.000,
0.764,-1.809,-2.107,-1.061,-0.062,-0.066,-0.015,0.051,-0.044,-0.017,0.000,
0.766,-1.783,-2.036,-1.083,-0.065,-0.070,-0.017,0.056,-0.043,-0.017,0.000,
0.768,-1.747,-1.957,-1.087,-0.069,-0.074,-0.019,0.057,-0.041,-0.015,0.000,
