time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.005,-0.015,-0.018,0.006,0.000,0.000,0.000,-0.002,-0.000,-0.006,0.000,
0.007,-0.034,-0.038,0.021,-0.000,-0.000,0.000,-0.004,-0.001,-0.013,0.000,
0.009,-0.049,-0.052,0.038,-0.000,-0.000,0.000,-0.006,-0.000,-0.018,0.000,
0.011,-0.056,-0.059,0.051,-0.000,-0.000,0.000,-0.005,0.001,-0.022,0.000,
0.013,-0.058,-0.064,0.059,-0.000,-0.000,0.000,-0.004,0.003,-0.022,0.000,
0.015,-0.058,-0.070,0.058,-0.000,-0.000,0.000,-0.001,0.004,-0.021,0.000,
0.017,-0.058,-0.078,0.044,-0.001,-0.001,0.000,0.001,0.005,-0.019,0.000,
0.019,-0.060,-0.090,0.022,-0.001,-0.001,0.001,0.002,0.004,-0.018,0.000,
0.021,-0.064,-0.101,-0.001,-0.001,-0.001,0.001,0.003,0.002,-0.016,0.000,
0.023,-0.070,-0.107,-0.020,-0.001,-0.001,0.001,0.004,-0.000,-0.013,0.000,
0.025,-0.073,-0.108,-0.035,-0.001,-0.001,0.001,0.004,-0.002,-0.011,12.000,
0.027,-0.070,-0.105,-0.047,-0.001,-0.002,0.000,0.004,-0.003,-0.009,0.000,
0.029,-0.066,-0.098,-0.057,-0.001,-0.002,0.000,0.003,-0.005,-0.007,0.000,
0.031,-0.065,-0.087,-0.066,-0.001,-0.002,0.000,0.001,-0.007,-0.006,0.000,
0.033,-0.070,-0.075,-0.071,-0.002,-0.002,0.000,-0.003,-0.009,-0.005,0.000,
0.035,-0.078,-0.068,-0.073,-0.002,-0.002,0.000,-0.007,-0.010,-0.006,0.000,
0.037,-0.080,-0.068,-0.071,-0.002,-0.002,-0.000,-0.011,-0.012,-0.007,0.000,
0.039,-0.073,-0.072,-0.068,-0.002,-0.003,-0.000,-0.014,-0.014,-0.009,0.000,
0.041,-0.061,-0.077,-0.060,-0.002,-0.003,-0.000,-0.015,-0.017,-0.011,0.000,
0.043,-0.047,-0.079,-0.049,-0.002,-0.003,-0.001,-0.014,-0.020,-0.013,0.000,
0.045,-0.031,-0.072,-0.040,-0.002,-0.003,-0.001,-0.011,-0.023,-0.014,0.000,
0.047,-0.017,-0.056,-0.036,-0.002,-0.003,-0.001,-0.006,-0.023,-0.012,0.000,
0.049,-0.007,-0.034,-0.039,-0.003,-0.003,-0.001,-0.001,-0.021,-0.008,0.000,
0.053,-0.001,-0.012,-0.046,-0.003,-0.003,-0.001,0.003,-0.018,-0.002,0.000,
0.055,-0.000,0.005,-0.053,-0.003,-0.003,-0.001,0.006,-0.015,0.004,0.000,
0.057,-0.005,0.012,-0.055,-0.003,-0.003,-0.001,0.008,-0.013,0.007,0.000,
0.059,-0.014,0.008,-0.050,-0.003,-0.003,-0.001,0.009,-0.011,0.006,2.000,
0.061,-0.025,-0.004,-0.039,-0.003,-0.003,-0.001,0.011,-0.012,0.003,0.000,
0.063,-0.033,-0.018,-0.028,-0.003,-0.003,-0.001,0.013,-0.013,-0.002,0.000,
0.065,-0.037,-0.031,-0.019,-0.003,-0.003,-0.001,0.014,-0.013,-0.006,0.000,
0.067,-0.036,-0.043,-0.014,-0.003,-0.003,-0.001,0.014,-0.014,-0.010,0.000,
0.069,-0.033,-0.051,-0.016,-0.003,-0.004,-0.001,0.013,-0.013,-0.014,0.000,
