time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.000,-0.445,0.072,-9.906,0.000,0.000,0.000,0.026,-0.024,0.045,0.000,
0.004,0.000,1679930687488.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.006,-0.213,1882866188288.000,0.001,0.000,3359861504.000,0.000,0.006,-0.005,0.001,0.000,
0.008,-0.466,1244843081728.000,-0.003,-0.000,7125594112.000,0.000,0.012,-0.013,0.004,0.000,
0.010,-0.646,425197502464.000,-0.013,-0.001,9615280128.000,-0.000,0.013,-0.020,0.009,0.000,
0.012,-0.722,-164761845760.000,-0.024,-0.003,10465675264.000,-0.000,0.011,-0.024,0.015,0.000,
0.014,-0.716,-403719979008.000,-0.034,-0.004,10136152064.000,-0.000,0.007,-0.025,0.020,0.000,
0.016,-0.667,-367606693888.000,-0.040,-0.006,9328711680.000,-0.000,0.003,-0.023,0.026,0.000,
0.018,-0.609,-204023496704.000,-0.043,-0.007,8593498112.000,-0.000,0.001,-0.021,0.033,0.000,
0.020,-0.561,-39284445184.000,-0.043,-0.008,8185451008.000,-0.000,0.000,-0.018,0.039,0.000,
0.022,-0.528,61079629824.000,-0.044,-0.009,8106882048.000,-0.000,0.001,-0.016,0.043,0.000,
0.024,-0.503,88696766464.000,-0.049,-0.010,8229041664.000,-0.000,0.005,-0.015,0.046,0.000,
0.031,-0.477,67944079360.000,-0.059,-0.011,8406434816.000,-0.001,0.009,-0.015,0.046,6.000,
0.033,-0.411,30456567808.000,-0.086,-0.012,8542323200.000,-0.001,0.011,-0.021,0.042,2.000,
0.035,-0.325,-867982016.000,-0.111,-0.013,8603236352.000,-0.001,0.008,-0.029,0.037,2.000,
0.037,-0.246,-16663570432.000,-0.118,-0.014,8601500672.000,-0.001,0.002,-0.036,0.035,2.000,
0.039,-0.182,-18229358592.000,-0.097,-0.014,8568173056.000,-0.001,-0.004,-0.041,0.037,2.000,
0.041,-0.130,-11846660096.000,-0.054,-0.015,8531714560.000,-0.002,-0.009,-0.042,0.040,8.000,
0.043,-0.080,-3886262528.000,0.001,-0.015,8508021248.000,-0.002,-0.013,-0.042,0.043,8.000,
0.045,-0.027,1747486848.000,0.054,-0.015,8500248576.000,-0.002,-0.015,-0.041,0.042,8.000,
0.047,0.029,3960723456.000,0.093,-0.015,8503743488.000,-0.002,-0.015,-0.041,0.038,9.000,
0.049,0.084,3538901248.000,0.120,-0.015,8511665152.000,-0.001,-0.013,-0.041,0.031,2.000,
0.051,0.133,1925899008.000,0.139,-0.015,8518743040.000,-0.001,-0.009,-0.041,0.024,2.000,
0.053,0.175,335362208.000,0.157,-0.015,8522594816.000,-0.001,-0.004,-0.038,0.017,2.000,
0.058,0.213,-616318336.000,0.175,-0.014,8523265536.000,-0.001,0.001,-0.035,0.012,2.000,
0.060,0.254,-863542848.000,0.199,-0.014,8522032640.000,-0.000,0.008,-0.029,0.007,2.000,
0.062,0.285,-650341440.000,0.221,-0.013,8520305664.000,0.000,0.016,-0.023,0.006,2.000,
0.064,0.298,-284019232.000,0.235,-0.013,8519005184.000,0.001,0.022,-0.016,0.005,2.000,
0.066,0.290,16716748.000,0.239,-0.012,8518436864.000,0.001,0.028,-0.008,0.005,2.000,
0.068,0.260,165058288.000,0.233,-0.011,8518470656.000,0.002,0.035,-0.000,0.004,2.000,
0.070,0.214,176385120.000,0.217,-0.011,8518800384.000,0.002,0.040,0.008,0.002,2.000,
0.072,0.156,112657048.000,0.194,-0.011,8519153152.000,0.003,0.045,0.015,-0.002,2.000,
0.074,0.090,35395220.000,0.168,-0.010,8519378432.000,0.003,0.049,0.020,-0.007,2.000,
0.076,0.017,-18368142.000,0.140,-0.010,8519449600.000,0.003,0.051,0.023,-0.011,2.000,
0.078,-0.062,-38822064.000,0.111,-0.010,8519412736.000,0.004,0.054,0.024,-0.017,2.000,
0.082,-0.142,-34048792.000,0.083,-0.010,8519334912.000,0.004,0.055,0.023,-0.022,2.000,
0.084,-0.270,-18161380.000,0.044,-0.010,8519266816.000,0.004,0.054,0.020,-0.028,2.000,
0.086,-0.401,-2813882.000,0.010,-0.011,8519230464.000,0.004,0.050,0.015,-0.035,2.000,
0.088,-0.506,6202653.000,-0.014,-0.012,8519224832.000,0.004,0.044,0.011,-0.039,2.000,
0.090,-0.580,8401600.000,-0.026,-0.013,8519237120.000,0.004,0.037,0.008,-0.042,2.000,
0.092,-0.626,6221006.000,-0.027,-0.014,8519254016.000,0.004,0.030,0.006,-0.044,2.000,
0.094,-0.655,2644133.500,-0.020,-0.015,8519266816.000,0.004,0.024,0.004,-0.046,2.000,
0.096,-0.675,-241417.922,-0.011,-0.017,8519271936.000,0.004,0.020,0.003,-0.047,2.000,
0.098,-0.689,-1632796.375,-0.003,-0.018,8519271424.000,0.004,0.018,0.003,-0.046,2.000,
0.100,-0.696,-1705663.500,0.003,-0.019,8519268352.000,0.004,0.016,0.004,-0.044,2.000,
0.102,-0.700,-1070517.000,0.005,-0.021,8519264768.000,0.004,0.015,0.007,-0.039,2.000,
0.104,-0.706,-321104.875,0.006,-0.022,8519262720.000,0.004,0.014,0.010,-0.031,2.000,
0.109,-0.713,191618.891,0.005,-0.023,8519262208.000,0.004,0.012,0.014,-0.020,2.000,
0.111,-0.723,380194.500,-0.005,-0.025,8519262208.000,0.004,0.011,0.017,0.000,2.000,
0.113,-0.736,327403.000,-0.022,-0.026,8519263232.000,0.004,0.010,0.017,0.024,2.000,
0.115,-0.751,171083.156,-0.039,-0.028,8519263744.000,0.004,0.009,0.015,0.047,2.000,
0.117,-0.767,23077.227,-0.050,-0.029,8519264256.000,0.004,0.008,0.011,0.065,2.000,
0.119,-0.784,-62274.332,-0.051,-0.031,8519264256.000,0.004,0.005,0.006,0.079,2.000,
0.121,-0.798,-81686.039,-0.042,-0.032,8519264256.000,0.004,0.000,0.001,0.090,2.000,
0.123,-0.806,-59470.902,-0.025,-0.034,8519263744.000,0.003,-0.005,-0.003,0.098,2.000,
0.125,-0.806,-24571.543,-0.011,-0.036,8519263744.000,0.003,-0.011,-0.008,0.105,2.000,
0.127,-0.800,3098.811,-0.007,-0.037,8519263744.000,0.003,-0.016,-0.014,0.112,2.000,
0.129,-0.790,16132.188,-0.013,-0.039,8519263744.000,0.003,-0.021,-0.021,0.117,2.000,
0.131,-0.777,16484.709,-0.026,-0.040,8519263744.000,0.003,-0.025,-0.027,0.122,2.000,
0.135,-0.763,10165.266,-0.044,-0.042,8519263744.000,0.003,-0.028,-0.033,0.126,2.000,
0.137,-0.736,2900.901,-0.074,-0.043,8519263744.000,0.003,-0.029,-0.038,0.129,2.000,
0.139,-0.697,-1985.291,-0.105,-0.045,8519263744.000,0.003,-0.027,-0.041,0.130,2.000,
0.141,-0.652,-3719.219,-0.134,-0.046,8519263744.000,0.003,-0.023,-0.041,0.126,2.000,
0.143,-0.604,-3145.283,-0.161,-0.048,8519263744.000,0.003,-0.018,-0.040,0.120,2.000,
0.146,-0.555,-1608.693,-0.180,-0.049,8519263744.000,0.002,-0.011,-0.036,0.111,2.000,
0.147,-0.510,-182.138,-0.194,-0.050,8519263744.000,0.002,-0.005,-0.033,0.101,2.000,
0.149,-0.471,625.145,-0.204,-0.051,8519263744.000,0.002,0.001,-0.031,0.090,2.000,
0.151,-0.442,795.032,-0.212,-0.052,8519263744.000,0.001,0.006,-0.030,0.078,2.000,
0.153,-0.424,569.565,-0.218,-0.053,8519263744.000,0.001,0.010,-0.031,0.065,2.000,
0.155,-0.413,229.356,-0.219,-0.054,8519263744.000,0.000,0.013,-0.033,0.049,2.000,
0.160,-0.405,-35.780,-0.211,-0.054,8519263744.000,-0.000,0.013,-0.035,0.029,2.000,
0.162,-0.397,-157.653,-0.200,-0.055,8519263744.000,-0.001,0.011,-0.037,-0.002,2.000,
0.164,-0.399,-157.648,-0.190,-0.056,8519263744.000,-0.001,0.008,-0.038,-0.036,2.000,
0.166,-0.411,-94.854,-0.183,-0.057,8519263744.000,-0.001,0.005,-0.038,-0.065,2.000,
0.168,-0.428,-24.484,-0.179,-0.058,8519263744.000,-0.002,0.004,-0.036,-0.087,2.000,
0.170,-0.445,22.022,-0.180,-0.059,8519263744.000,-0.002,0.004,-0.033,-0.105,2.000,
0.172,-0.464,37.870,-0.186,-0.059,8519263744.000,-0.002,0.007,-0.029,-0.120,2.000,
0.174,-0.488,31.642,-0.196,-0.060,8519263744.000,-0.003,0.011,-0.025,-0.134,2.000,
0.176,-0.514,16.457,-0.199,-0.061,8519263744.000,-0.003,0.014,-0.022,-0.146,2.000,
0.178,-0.537,2.602,-0.193,-0.062,8519263744.000,-0.004,0.015,-0.020,-0.154,2.000,
0.180,-0.551,-5.155,-0.185,-0.063,8519263744.000,-0.004,0.016,-0.021,-0.159,2.000,
0.182,-0.553,-6.767,-0.176,-0.065,8519263744.000,-0.004,0.015,-0.022,-0.161,2.000,
0.187,-0.542,-4.633,-0.170,-0.066,8519263744.000,-0.005,0.015,-0.023,-0.161,2.000,
0.189,-0.493,-1.556,-0.169,-0.067,8519263744.000,-0.005,0.012,-0.022,-0.154,2.000,
0.191,-0.418,0.735,-0.167,-0.068,8519263744.000,-0.005,0.010,-0.021,-0.143,2.000,
