time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,-0.039,0.015,-0.015,0.000,
0.622,-0.197,0.034,0.046,0.000,0.000,0.000,0.088,-0.020,0.063,0.000,
0.624,0.097,-0.138,0.335,-0.000,0.000,0.000,0.154,-0.046,0.123,0.000,
0.626,0.549,-0.362,0.642,-0.000,-0.000,0.001,0.109,-0.039,0.124,3.000,
0.628,0.925,-0.539,0.838,0.001,-0.001,0.002,0.073,-0.027,0.120,8.000,
0.630,1.133,-0.639,0.896,0.003,-0.002,0.004,0.081,-0.024,0.134,0.000,
0.632,1.192,-0.678,0.851,0.005,-0.003,0.006,0.089,-0.023,0.149,0.000,
0.634,1.171,-0.692,0.757,0.007,-0.005,0.007,0.079,-0.020,0.151,0.000,
0.636,1.136,-0.709,0.659,0.010,-0.006,0.009,0.069,-0.014,0.147,0.000,
0.638,1.121,-0.742,0.576,0.012,-0.007,0.010,0.067,-0.011,0.145,0.000,
0.640,1.131,-0.786,0.508,0.014,-0.009,0.011,0.069,-0.007,0.146,0.000,
0.642,1.156,-0.832,0.446,0.017,-0.010,0.012,0.070,-0.005,0.145,0.000,
0.644,1.183,-0.872,0.384,0.019,-0.012,0.013,0.071,-0.003,0.144,0.000,
0.646,1.203,-0.901,0.320,0.021,-0.014,0.014,0.075,-0.003,0.143,0.000,
0.648,1.213,-0.923,0.259,0.024,-0.016,0.015,0.080,-0.005,0.144,0.000,
0.650,1.213,-0.943,0.210,0.026,-0.018,0.015,0.084,-0.009,0.148,0.000,
0.652,1.206,-0.967,0.178,0.028,-0.019,0.015,0.086,-0.015,0.153,0.000,
0.654,1.193,-0.998,0.165,0.031,-0.021,0.016,0.087,-0.020,0.155,0.000,
0.656,1.177,-1.033,0.163,0.033,-0.023,0.016,0.090,-0.024,0.155,0.000,
0.658,1.162,-1.069,0.168,0.036,-0.025,0.016,0.092,-0.026,0.153,0.000,
0.660,1.146,-1.099,0.178,0.038,-0.028,0.017,0.093,-0.026,0.153,0.000,
0.662,1.131,-1.115,0.189,0.040,-0.030,0.017,0.094,-0.025,0.153,0.000,
0.664,1.113,-1.118,0.202,0.042,-0.032,0.018,0.094,-0.023,0.155,0.000,
0.666,1.090,-1.111,0.214,0.045,-0.034,0.018,0.090,-0.021,0.156,0.000,
0.668,1.058,-1.098,0.226,0.047,-0.036,0.018,0.082,-0.016,0.156,0.000,
0.670,1.014,-1.088,0.236,0.049,-0.039,0.019,0.073,-0.011,0.153,0.000,
0.672,0.952,-1.085,0.247,0.051,-0.041,0.019,0.066,-0.008,0.146,0.000,
0.674,0.869,-1.096,0.260,0.053,-0.043,0.020,0.061,-0.007,0.138,0.000,
0.676,0.769,-1.127,0.274,0.055,-0.045,0.020,0.058,-0.006,0.127,0.000,
0.678,0.661,-1.177,0.288,0.056,-0.047,0.021,0.057,-0.005,0.115,0.000,
0.680,0.554,-1.238,0.298,0.058,-0.050,0.021,0.057,-0.003,0.103,0.000,
0.682,0.459,-1.301,0.305,0.059,-0.052,0.022,0.058,-0.001,0.091,0.000,
0.684,0.378,-1.356,0.307,0.060,-0.055,0.023,0.060,-0.001,0.077,0.000,
0.686,0.310,-1.396,0.308,0.060,-0.058,0.023,0.064,-0.002,0.062,0.000,
0.688,0.249,-1.420,0.306,0.061,-0.060,0.024,0.067,-0.003,0.046,0.000,
0.690,0.192,-1.431,0.301,0.061,-0.063,0.024,0.071,-0.003,0.025,0.000,
0.692,0.135,-1.431,0.298,0.062,-0.066,0.025,0.074,-0.002,0.004,0.000,
0.694,0.079,-1.419,0.294,0.062,-0.069,0.026,0.076,0.000,-0.014,0.000,
0.696,0.027,-1.394,0.287,0.062,-0.072,0.026,0.076,0.002,-0.029,0.000,
0.698,-0.015,-1.358,0.279,0.062,-0.075,0.027,0.075,0.006,-0.046,0.000,
0.700,-0.048,-1.315,0.272,0.062,-0.077,0.027,0.074,0.008,-0.062,0.000,
0.702,-0.077,-1.274,0.268,0.062,-0.080,0.028,0.073,0.008,-0.076,0.000,
0.704,-0.104,-1.238,0.266,0.062,-0.082,0.028,0.070,0.007,-0.086,0.000,
0.706,-0.129,-1.209,0.271,0.062,-0.085,0.029,0.066,0.008,-0.094,0.000,
0.708,-0.150,-1.187,0.285,0.062,-0.087,0.030,0.061,0.011,-0.101,0.000,
0.710,-0.163,-1.174,0.306,0.061,-0.090,0.030,0.056,0.014,-0.110,0.000,
0.712,-0.164,-1.170,0.328,0.061,-0.092,0.031,0.051,0.018,-0.123,0.000,
0.714,-0.149,-1.175,0.344,0.061,-0.094,0.031,0.049,0.024,-0.138,0.000,
0.716,-0.120,-1.192,0.347,0.060,-0.097,0.032,0.047,0.029,-0.150,8.000,
0.718,-0.083,-1.224,0.338,0.060,-0.099,0.033,0.046,0.030,-0.158,0.000,
0.720,-0.041,-1.275,0.322,0.060,-0.102,0.033,0.044,0.031,-0.166,0.000,
0.722,0.003,-1.345,0.303,0.060,-0.104,0.034,0.041,0.033,-0.171,0.000,
0.724,0.046,-1.432,0.281,0.060,-0.107,0.035,0.037,0.036,-0.176,0.000,
0.726,0.088,-1.533,0.257,0.060,-0.110,0.035,0.034,0.037,-0.180,0.000,
0.728,0.127,-1.647,0.239,0.060,-0.113,0.036,0.032,0.038,-0.181,0.000,
0.730,0.159,-1.770,0.232,0.060,-0.116,0.036,0.030,0.037,-0.178,0.000,
0.732,0.185,-1.903,0.238,0.061,-0.120,0.037,0.028,0.036,-0.174,0.000,
0.734,0.204,-2.046,0.253,0.061,-0.123,0.037,0.026,0.034,-0.170,0.000,
0.736,0.216,-2.195,0.271,0.061,-0.128,0.038,0.025,0.031,-0.165,0.000,
0.738,0.225,-2.345,0.287,0.062,-0.132,0.038,0.022,0.028,-0.158,0.000,
0.740,0.239,-2.492,0.298,0.062,-0.137,0.039,0.018,0.025,-0.150,0.000,
0.742,0.262,-2.627,0.301,0.063,-0.142,0.039,0.018,0.024,-0.140,0.000,
0.744,0.293,-2.742,0.298,0.063,-0.147,0.040,0.019,0.023,-0.127,0.000,
0.746,0.323,-2.825,0.293,0.064,-0.152,0.041,0.020,0.023,-0.113,0.000,
0.748,0.347,-2.870,0.291,0.065,-0.158,0.041,0.020,0.021,-0.100,0.000,
0.750,0.362,-2.878,0.297,0.065,-0.164,0.042,0.020,0.018,-0.087,0.000,
0.752,0.369,-2.848,0.309,0.066,-0.169,0.042,0.020,0.013,-0.070,0.000,
0.754,0.366,-2.778,0.322,0.067,-0.175,0.043,0.020,0.009,-0.055,0.000,
0.756,0.356,-2.676,0.335,0.067,-0.181,0.044,0.022,0.006,-0.040,0.000,
0.758,0.343,-2.551,0.348,0.068,-0.186,0.044,0.025,0.004,-0.023,0.000,
0.760,0.335,-2.414,0.363,0.069,-0.191,0.045,0.031,-0.000,0.005,0.000,
0.762,0.336,-2.246,0.384,0.070,-0.196,0.046,0.036,-0.003,0.025,8.000,
0.764,0.344,-2.075,0.406,0.070,-0.200,0.046,0.041,-0.005,0.033,0.000,
0.766,0.353,-1.919,0.427,0.071,-0.205,0.047,0.046,-0.004,0.042,0.000,
0.768,0.357,-1.780,0.442,0.072,-0.208,0.048,0.049,-0.002,0.052,0.000,
0.770,0.353,-1.651,0.443,0.072,-0.212,0.049,0.049,-0.002,0.061,0.000,
0.772,0.342,-1.522,0.431,0.073,-0.215,0.050,0.047,-0.001,0.068,0.000,
0.774,0.325,-1.394,0.409,0.074,-0.218,0.051,0.043,0.002,0.073,0.000,
0.776,0.301,-1.273,0.374,0.074,-0.221,0.052,0.038,0.005,0.076,0.000,
0.778,0.268,-1.165,0.329,0.075,-0.224,0.052,0.034,0.009,0.078,0.000,
0.780,0.229,-1.073,0.276,0.075,-0.226,0.053,0.030,0.013,0.080,0.000,
0.782,0.181,-0.995,0.220,0.076,-0.228,0.054,0.025,0.016,0.083,0.000,
0.784,0.125,-0.929,0.163,0.076,-0.230,0.054,0.022,0.016,0.087,0.000,
0.786,0.059,-0.867,0.104,0.077,-0.232,0.054,0.019,0.016,0.090,0.000,
0.788,-0.016,-0.806,0.039,0.077,-0.234,0.055,0.017,0.013,0.093,0.000,
0.790,-0.094,-0.745,-0.028,0.077,-0.235,0.055,0.016,0.009,0.099,0.000,
