time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.000,0.008,-0.123,9.602,0.000,0.000,0.000,-0.010,0.000,0.001,0.000,
0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.006,-0.009,-0.007,-0.003,0.000,0.000,0.000,0.003,0.002,-0.002,0.000,
0.008,-0.011,-0.005,-0.007,-0.000,-0.000,-0.000,0.005,0.003,-0.004,0.000,
0.010,-0.004,0.004,-0.010,-0.000,-0.000,-0.000,0.005,0.004,-0.006,0.000,
0.012,0.009,0.015,-0.010,-0.000,-0.000,-0.000,0.003,0.005,-0.008,0.000,
0.014,0.022,0.022,-0.007,-0.000,0.000,-0.000,-0.001,0.005,-0.009,0.000,
0.016,0.031,0.022,-0.000,0.000,0.000,-0.000,-0.006,0.004,-0.009,0.000,
0.018,0.035,0.014,0.007,0.000,0.000,-0.000,-0.009,0.002,-0.008,0.000,
0.020,0.035,0.001,0.016,0.000,0.000,-0.000,-0.011,-0.001,-0.007,0.000,
0.022,0.033,-0.010,0.024,0.000,0.000,-0.000,-0.012,-0.005,-0.005,0.000,
0.024,0.030,-0.016,0.034,0.000,0.000,0.000,-0.012,-0.009,-0.005,0.000,
0.030,0.027,-0.018,0.045,0.000,0.000,0.000,-0.011,-0.011,-0.004,9.000,
0.032,0.017,-0.016,0.058,0.000,0.000,0.000,-0.008,-0.010,-0.002,0.000,
0.034,0.009,-0.013,0.066,0.000,0.000,0.000,-0.004,-0.007,0.002,0.000,
0.036,0.005,-0.011,0.065,0.000,-0.000,0.000,-0.000,-0.005,0.005,0.000,
0.038,0.007,-0.011,0.054,0.000,-0.000,0.001,0.002,-0.004,0.007,0.000,
0.040,0.016,-0.012,0.036,0.000,-0.000,0.001,0.002,-0.003,0.008,0.000,
0.042,0.027,-0.012,0.018,0.001,-0.000,0.001,0.001,-0.001,0.009,0.000,
0.044,0.035,-0.010,0.006,0.001,-0.000,0.001,-0.001,0.002,0.010,0.000,
0.046,0.037,-0.008,0.002,0.001,-0.000,0.001,-0.003,0.005,0.010,0.000,
0.048,0.032,-0.007,0.004,0.001,-0.000,0.001,-0.004,0.009,0.010,0.000,
0.050,0.024,-0.008,0.012,0.001,-0.000,0.001,-0.004,0.012,0.009,0.000,
