time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds,,,,gforcex,gforcey,gforcez
0,0.002,0.001,0,-0.445,-0.536,10.013,0,-0.001,-0.001,-0.445,-0.536,10.013,0,-0.045361875637105,-0.054638124362895,1.02069317023445
0.001,0.002,0.001,0,-0.426,-0.522,10.022,0,-0.001,-0.001,-0.426,-0.522,10.022,0,-0.043425076452599,-0.053211009174312,1.02161060142712
0.002,0.002,0.001,0,-0.407,-0.532,10.003,0,-0.001,-0.001,-0.407,-0.532,10.003,0,-0.041488277268094,-0.054230377166157,1.01967380224261
0.003,0.002,0.001,0,-0.417,-0.541,10.056,0,-0.001,-0.001,-0.417,-0.541,10.056,0,-0.042507645259939,-0.055147808358818,1.02507645259939
0.004,0.002,0.001,0,-0.455,-0.517,10.108,0,-0.001,-0.001,-0.455,-0.517,10.108,0,-0.04638124362895,-0.052701325178389,1.03037716615698
0.005,0.002,0.001,0,-0.474,-0.498,10.099,0,-0.001,-0.001,-0.474,-0.498,10.099,0,-0.048318042813456,-0.050764525993884,1.02945973496432
0.006,0.002,0.001,0,-0.469,-0.488,10.041,0,0,-0.001,-0.469,-0.488,10.041,0,-0.047808358817533,-0.049745158002039,1.02354740061162
0.007,0.002,0.001,0,-0.484,-0.512,10.008,0,0,-0.001,-0.484,-0.512,10.008,0,-0.049337410805301,-0.052191641182467,1.02018348623853
0.008,0.002,0.001,0,-0.474,-0.522,10.017,0,0,-0.001,-0.474,-0.522,10.017,0,-0.048318042813456,-0.053211009174312,1.02110091743119
0.009,0.002,0.001,0,-0.464,-0.527,10.041,-0.001,-0.001,-0.001,-0.464,-0.527,10.041,0,-0.047298674821611,-0.053720693170235,1.02354740061162
0.01,0.002,0.001,0,-0.474,-0.541,10.032,-0.001,-0.001,-0.001,-0.474,-0.541,10.032,0,-0.048318042813456,-0.055147808358818,1.02262996941896
0.011,0.002,0.001,0,-0.474,-0.541,10.032,-0.001,-0.001,-0.001,-0.474,-0.541,10.032,0,-0.048318042813456,-0.055147808358818,1.02262996941896
0.012,0.002,0.001,0,-0.484,-0.522,10.036,-0.001,-0.001,-0.001,-0.484,-0.522,10.036,0,-0.049337410805301,-0.053211009174312,1.0230377166157
0.013,0.002,0.001,0,-0.469,-0.498,10.041,-0.001,-0.001,-0.001,-0.469,-0.498,10.041,0,-0.047808358817533,-0.050764525993884,1.02354740061162
0.014,0.002,0.001,0,-0.431,-0.508,10.056,-0.001,-0.001,-0.001,-0.431,-0.508,10.056,0,-0.043934760448522,-0.051783893985729,1.02507645259939
0.015,0.002,0.001,-0.001,-0.436,-0.508,10.075,-0.001,-0.001,-0.001,-0.436,-0.508,10.075,0,-0.044444444444445,-0.051783893985729,1.02701325178389
0.016,0.002,0.001,-0.001,-0.445,-0.498,10.041,-0.001,-0.001,-0.001,-0.445,-0.498,10.041,0,-0.045361875637105,-0.050764525993884,1.02354740061162
0.017,0.002,0.001,-0.001,-0.455,-0.508,10.008,-0.001,-0.001,-0.001,-0.455,-0.508,10.008,0,-0.04638124362895,-0.051783893985729,1.02018348623853
0.018,0.002,0.001,-0.001,-0.46,-0.522,10.013,-0.001,-0.001,-0.001,-0.46,-0.522,10.013,0,-0.046890927624873,-0.053211009174312,1.02069317023445
0.019,0.002,0.001,-0.001,-0.436,-0.522,10.017,-0.001,-0.001,-0.001,-0.436,-0.522,10.017,0,-0.044444444444445,-0.053211009174312,1.02110091743119
0.02,0.002,0.001,-0.001,-0.417,-0.517,10.013,-0.001,-0.001,0,-0.417,-0.517,10.013,0,-0.042507645259939,-0.052701325178389,1.02069317023445
0.021,0.002,0.001,-0.001,-0.45,-0.503,10.013,-0.001,-0.001,0,-0.45,-0.503,10.013,0,-0.045871559633028,-0.051274209989806,1.02069317023445
0.022,0.002,0.001,-0.001,-0.445,-0.527,10.06,-0.001,-0.001,0,-0.445,-0.527,10.06,0,-0.045361875637105,-0.053720693170235,1.02548419979613
