time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.008,0.052,0.000,
0.622,-0.150,-0.028,-0.037,0.000,0.000,0.000,-0.129,-0.032,-0.006,0.000,
0.624,-0.243,-0.472,-0.117,-0.000,-0.000,-0.000,-0.239,-0.050,-0.051,0.000,
0.626,-0.268,-0.942,-0.201,-0.001,-0.001,-0.000,-0.178,-0.036,-0.030,12.000,
0.628,-0.250,-1.224,-0.263,-0.001,-0.003,-0.001,-0.126,-0.026,-0.005,0.000,
0.630,-0.220,-1.281,-0.299,-0.002,-0.005,-0.001,-0.142,-0.031,-0.007,0.000,
0.632,-0.199,-1.185,-0.313,-0.002,-0.008,-0.002,-0.160,-0.037,-0.013,0.000,
0.634,-0.198,-1.030,-0.312,-0.003,-0.010,-0.002,-0.152,-0.038,-0.012,0.000,
0.636,-0.214,-0.889,-0.304,-0.003,-0.012,-0.003,-0.138,-0.038,-0.006,0.000,
0.638,-0.241,-0.798,-0.293,-0.003,-0.014,-0.004,-0.132,-0.037,0.000,0.000,
0.640,-0.271,-0.754,-0.279,-0.004,-0.016,-0.004,-0.126,-0.036,0.006,0.000,
0.642,-0.297,-0.735,-0.265,-0.005,-0.017,-0.005,-0.116,-0.035,0.007,0.000,
0.644,-0.320,-0.714,-0.249,-0.005,-0.019,-0.005,-0.105,-0.036,0.006,0.000,
0.646,-0.342,-0.676,-0.231,-0.006,-0.020,-0.006,-0.096,-0.038,0.004,0.000,
0.648,-0.369,-0.615,-0.213,-0.006,-0.021,-0.006,-0.089,-0.039,0.004,0.000,
0.650,-0.400,-0.534,-0.195,-0.007,-0.023,-0.007,-0.082,-0.040,0.004,0.000,
0.652,-0.433,-0.433,-0.176,-0.008,-0.024,-0.007,-0.078,-0.043,0.004,0.000,
0.654,-0.467,-0.313,-0.156,-0.009,-0.025,-0.007,-0.076,-0.047,-0.001,0.000,
0.656,-0.503,-0.176,-0.141,-0.010,-0.025,-0.008,-0.075,-0.052,-0.008,0.000,
0.658,-0.536,-0.026,-0.130,-0.011,-0.026,-0.008,-0.077,-0.056,-0.014,0.000,
0.660,-0.563,0.127,-0.127,-0.012,-0.026,-0.008,-0.080,-0.059,-0.019,0.000,
0.662,-0.582,0.277,-0.129,-0.013,-0.025,-0.009,-0.083,-0.062,-0.024,0.000,
0.664,-0.592,0.417,-0.134,-0.014,-0.025,-0.009,-0.086,-0.067,-0.028,2.000,
0.666,-0.593,0.544,-0.142,-0.015,-0.024,-0.009,-0.090,-0.070,-0.031,0.000,
0.668,-0.584,0.652,-0.148,-0.017,-0.023,-0.009,-0.095,-0.072,-0.032,0.000,
0.670,-0.570,0.738,-0.154,-0.018,-0.022,-0.010,-0.101,-0.071,-0.032,0.000,
0.672,-0.550,0.802,-0.159,-0.019,-0.020,-0.010,-0.106,-0.070,-0.029,0.000,
0.674,-0.528,0.842,-0.166,-0.020,-0.019,-0.010,-0.111,-0.067,-0.024,0.000,
0.676,-0.504,0.860,-0.178,-0.021,-0.017,-0.011,-0.114,-0.063,-0.020,0.000,
0.678,-0.482,0.855,-0.197,-0.022,-0.015,-0.011,-0.115,-0.060,-0.017,0.000,
0.680,-0.466,0.832,-0.219,-0.023,-0.013,-0.011,-0.115,-0.058,-0.012,0.000,
0.682,-0.458,0.797,-0.241,-0.024,-0.012,-0.012,-0.116,-0.057,-0.009,0.000,
0.684,-0.457,0.755,-0.253,-0.025,-0.010,-0.012,-0.118,-0.057,-0.006,0.000,
0.686,-0.457,0.706,-0.257,-0.026,-0.009,-0.013,-0.119,-0.057,-0.004,0.000,
0.688,-0.451,0.650,-0.256,-0.027,-0.007,-0.013,-0.118,-0.057,-0.000,0.000,
0.690,-0.439,0.585,-0.257,-0.028,-0.006,-0.014,-0.114,-0.057,0.004,0.000,
0.692,-0.421,0.513,-0.262,-0.028,-0.005,-0.014,-0.108,-0.059,0.008,0.000,
0.694,-0.400,0.434,-0.274,-0.029,-0.004,-0.015,-0.102,-0.063,0.011,0.000,
0.696,-0.378,0.350,-0.296,-0.030,-0.003,-0.015,-0.095,-0.066,0.012,0.000,
