time,gyrx,gyry,gyrz,rol,pit,yaw,accx,accy,accz,vCmds
0.002,0.004,-0.003,-0.000,0.000,0.000,0.000,0.179,0.247,-9.665,0.000,
0.005,0.004,0.000,-0.001,0.000,-0.000,-0.000,0.188,0.256,-9.661,0.000,
0.007,0.005,0.002,-0.001,0.000,-0.000,-0.000,0.186,0.264,-9.667,0.000,
0.009,0.005,0.004,-0.001,0.000,0.000,-0.000,0.179,0.269,-9.674,0.000,
0.011,0.005,0.005,-0.001,0.000,0.000,-0.000,0.168,0.276,-9.681,0.000,
0.013,0.005,0.006,-0.002,0.000,0.000,-0.000,0.159,0.293,-9.692,0.000,
0.015,0.005,0.008,-0.003,0.000,0.000,-0.000,0.151,0.315,-9.708,0.000,
0.017,0.005,0.008,-0.003,0.000,0.000,-0.000,0.140,0.325,-9.724,0.000,
0.019,0.003,0.009,-0.002,0.000,0.000,-0.000,0.136,0.331,-9.731,0.000,
0.021,0.003,0.008,-0.002,0.000,0.000,-0.000,0.130,0.339,-9.710,0.000,
0.023,0.002,0.007,-0.001,0.000,0.000,-0.000,0.119,0.343,-9.675,0.000,
0.025,0.002,0.006,-0.001,0.000,0.000,-0.000,0.108,0.349,-9.645,3.000,
0.031,0.002,0.004,0.001,0.000,0.000,-0.000,0.106,0.353,-9.584,0.000,
0.033,0.003,0.005,0.002,0.000,0.000,-0.000,0.106,0.342,-9.559,0.000,
0.035,0.002,0.005,0.003,0.000,0.000,-0.000,0.110,0.342,-9.542,0.000,
0.037,0.002,0.006,0.004,0.000,0.000,-0.000,0.112,0.341,-9.533,0.000,
0.039,0.002,0.007,0.005,0.000,0.000,-0.000,0.114,0.333,-9.534,0.000,
0.041,0.003,0.006,0.004,0.000,0.000,-0.000,0.123,0.318,-9.538,0.000,
0.043,0.003,0.006,0.004,0.000,0.000,0.000,0.131,0.304,-9.557,0.000,
0.045,0.003,0.004,0.003,0.000,0.000,0.000,0.135,0.295,-9.576,0.000,
0.047,0.003,0.002,0.003,0.000,0.000,0.000,0.132,0.288,-9.580,0.000,
0.049,0.004,0.000,0.002,0.000,0.000,0.000,0.122,0.287,-9.586,0.000,
0.051,0.004,-0.000,0.002,0.000,0.000,0.000,0.112,0.295,-9.592,0.000,
0.053,0.005,-0.001,0.001,0.000,0.000,0.000,0.106,0.297,-9.600,0.000,
0.057,0.005,-0.002,0.000,0.000,0.000,0.000,0.085,0.290,-9.618,0.000,
0.059,0.006,-0.002,-0.002,0.000,0.000,0.000,0.068,0.300,-9.621,8.000,
0.061,0.006,-0.002,-0.003,0.000,0.000,0.000,0.052,0.314,-9.626,0.000,
0.063,0.007,-0.003,-0.006,0.000,0.000,0.000,0.043,0.326,-9.634,0.000,
0.065,0.007,-0.003,-0.007,0.000,0.000,0.000,0.039,0.332,-9.632,0.000,
0.067,0.008,-0.005,-0.007,0.000,0.000,0.000,0.041,0.339,-9.627,0.000,
0.069,0.008,-0.005,-0.008,0.000,0.000,-0.000,0.052,0.341,-9.613,0.000,
0.071,0.008,-0.007,-0.006,0.000,0.000,-0.000,0.071,0.339,-9.591,0.000,
0.073,0.008,-0.007,-0.005,0.000,0.000,-0.000,0.098,0.333,-9.577,0.000,
0.075,0.007,-0.009,-0.003,0.000,0.000,-0.000,0.124,0.332,-9.566,0.000,
0.077,0.006,-0.009,-0.002,0.000,0.000,-0.000,0.153,0.336,-9.564,0.000,
0.082,0.002,-0.006,0.001,0.000,0.000,-0.000,0.225,0.339,-9.577,0.000,
0.084,0.001,-0.005,0.002,0.000,0.000,-0.000,0.250,0.339,-9.598,0.000,
0.086,-0.000,-0.003,0.002,0.000,0.000,-0.000,0.266,0.339,-9.622,0.000,
0.088,-0.001,-0.002,0.002,0.000,0.000,-0.000,0.269,0.341,-9.634,0.000,
0.090,-0.001,-0.002,0.002,0.000,0.000,-0.000,0.252,0.337,-9.634,0.000,
0.092,-0.001,-0.002,0.002,0.000,0.000,-0.000,0.227,0.323,-9.632,0.000,
0.094,-0.001,-0.003,0.002,0.000,0.000,-0.000,0.208,0.309,-9.625,4.000,
0.096,-0.001,-0.005,0.001,0.000,0.000,-0.000,0.191,0.298,-9.612,0.000,
0.098,-0.000,-0.005,0.001,0.000,0.000,-0.000,0.175,0.295,-9.599,0.000,
0.100,0.001,-0.005,-0.001,0.000,0.000,-0.000,0.167,0.302,-9.595,0.000,
0.102,0.001,-0.005,-0.002,0.000,0.000,-0.000,0.164,0.304,-9.602,0.000,
0.104,0.002,-0.004,-0.003,0.000,0.000,-0.000,0.157,0.302,-9.611,0.000,
0.112,-0.002,0.001,-0.002,0.000,0.000,-0.000,0.120,0.317,-9.625,0.000,
